calle,num,latitud,longitud,idAcc,desconocidos,ilesos,leves,graves,muertos
CALLE DE ARTURO SORIA - CALLE DEL MARQUES DE PICO VELASCO,0,40.4442304,-3.644081,2018/3751,0,2,0,1,0
CALLE DE ARTURO SORIA - CALLE DEL MARQUES DE PORTUGALETE,0,40.4452635,-3.6462475,2018/5050,0,4,0,1,0
CALLE DE ARTURO SORIA - CAMINO DE LA HUERTA,0,40.4431532,-3.6428201,2018/1943,1,2,1,0,0
CALLE DE ARTURO SORIA - CUESTA DEL SAGRADO CORAZON,0,40.4671176,-3.6662307,2018/4031,0,1,2,0,0
CALLE DE ARTURO SORIA NUM,105,40.45006480000001,-3.652382899999999,2018/4794,0,1,1,0,0
CALLE DE ARTURO SORIA NUM,107,40.45006480000001,-3.652382899999999,2018/3807,0,2,2,0,0
CALLE DE ARTURO SORIA NUM,109,40.45006480000001,-3.652382899999999,2018/6836,0,1,2,0,0
CALLE DE ARTURO SORIA NUM,124,40.45006480000001,-3.652382899999999,2018/7591,0,0,2,0,0
CALLE DE ARTURO SORIA NUM,126,40.45006480000001,-3.652382899999999,2018/541,0,1,1,0,0
CALLE DE ARTURO SORIA NUM,140,40.45006480000001,-3.652382899999999,2018/16037,0,1,1,0,0
CALLE DE ARTURO SORIA NUM,147,40.45006480000001,-3.652382899999999,2018/1455,0,0,1,0,0
CALLE DE ARTURO SORIA NUM,150,40.45006480000001,-3.652382899999999,2018/5928,0,1,1,0,0
CALLE DE ARTURO SORIA NUM,155,40.45006480000001,-3.652382899999999,2018/5245,0,1,1,0,0
CALLE DE ARTURO SORIA NUM,191,40.45006480000001,-3.652382899999999,2018/16498,0,0,1,0,0
CALLE DE ARTURO SORIA NUM,2,40.45006480000001,-3.652382899999999,2018/15336,0,1,1,0,0
CALLE DE ARTURO SORIA NUM,2,40.45006480000001,-3.652382899999999,2018/4213,0,1,2,0,0
CALLE DE ARTURO SORIA NUM,200,40.45006480000001,-3.652382899999999,2018/8877,0,1,1,0,0
CALLE DE ARTURO SORIA NUM,204,40.45006480000001,-3.652382899999999,2018/3039,0,1,1,0,0
CALLE DE ARTURO SORIA NUM,220,40.45006480000001,-3.652382899999999,2018/7138,0,1,0,1,0
CALLE DE ARTURO SORIA NUM,240,40.45006480000001,-3.652382899999999,2018/12875,0,1,1,0,0
CALLE DE ARTURO SORIA NUM,240,40.45006480000001,-3.652382899999999,2018/4296,0,1,2,0,0
CALLE DE ARTURO SORIA NUM,251,40.45006480000001,-3.652382899999999,2018/4620,1,1,1,1,0
CALLE DE ARTURO SORIA NUM,277,40.45006480000001,-3.652382899999999,2018/8855,0,1,1,0,0
CALLE DE ARTURO SORIA NUM,278,40.45006480000001,-3.652382899999999,2018/14650,0,1,1,0,0
CALLE DE ARTURO SORIA NUM,278,40.45006480000001,-3.652382899999999,2018/223,0,0,1,0,0
