FECHA CENSO,ANYO_EXPEDICION,MUNICIPIO,SEXO,GRUPO PERMISOS,HASTA 18,DE 19 A 24,DE 25 A 34,DE 35 A 44,DE 45 A 54,DE 55 A 64,DE 65 A 74,MÁS DE 74,Total
11/03/2019,2001,Madrid,V,BTP,0,0,0,5,2,9,4,0,20
11/03/2019,2001,Madrid,V,C,0,0,0,71,75,23,3,0,172
11/03/2019,2001,Madrid,V,"C,A,A2",0,0,0,28,31,6,2,0,67
11/03/2019,2001,Madrid,V,"C,A1",0,0,0,3,1,0,0,0,4
11/03/2019,2001,Madrid,V,"C,B+E",0,0,0,1,0,0,0,0,1
11/03/2019,2001,Madrid,V,"C,C+E",0,0,0,20,21,5,0,0,46
11/03/2019,2001,Madrid,V,"C,C+E,A,A2",0,0,0,6,17,8,1,0,32
11/03/2019,2001,Madrid,V,C1,0,0,0,1,0,0,0,0,1
11/03/2019,2001,Madrid,V,"C1,A,A2",0,0,0,6,12,0,0,0,18
11/03/2019,2001,Madrid,V,"C1,A1",0,0,0,0,1,0,0,0,1
11/03/2019,2001,Madrid,V,"C1,C1+E",0,0,0,1,0,0,0,0,1
11/03/2019,2001,Madrid,V,"C1,C1+E,A,",0,0,0,1,5,0,0,0,6
11/03/2019,2001,Madrid,V,D ,0,0,0,19,38,10,1,0,68
11/03/2019,2001,Madrid,V,"D,A,A2",0,0,0,10,19,4,0,0,33
11/03/2019,2001,Madrid,V,"D,A1",0,0,0,1,1,0,0,0,2
11/03/2019,2001,Madrid,V,"D,B+E",0,0,0,1,1,0,0,0,2
11/03/2019,2001,Madrid,V,"D,C+E,A,A2",0,0,0,0,0,1,0,0,1
11/03/2019,2001,Madrid,V,"D,D+E",0,0,0,18,17,7,1,0,43
11/03/2019,2001,Madrid,V,"D,D+E,A,A2",0,0,0,19,41,20,3,0,83
11/03/2019,2001,Madrid,V,"D1,D1+E",0,0,0,0,1,0,0,0,1
11/03/2019,2001,Madrid,V,Otros,0,0,0,1.800,293,62,10,1,2166
11/03/2019,2002,Madrid,M,AM,0,0,5,15,7,7,3,0,37
11/03/2019,2002,Madrid,M,B,0,0,431,12.011,2.516,721,180,19,15878
11/03/2019,2002,Madrid,M,"B,A,A2",0,0,0,93,81,10,2,0,186
11/03/2019,2002,Madrid,M,"B,A1",0,0,13,63,60,9,4,0,149
11/03/2019,2002,Madrid,M,"B,B+E",0,0,0,6,7,1,0,0,14
11/03/2019,2002,Madrid,M,"B,B+E,A,A2",0,0,0,1,1,6,0,0,8
11/03/2019,2002,Madrid,M,"B,B+E,A1",0,0,0,1,0,0,1,1,3
11/03/2019,2002,Madrid,M,BTP,0,0,0,0,0,3,0,0,3
11/03/2019,2002,Madrid,M,C,0,0,0,1,8,0,0,0,9
11/03/2019,2002,Madrid,M,"C,A,A2",0,0,0,2,0,1,0,0,3
11/03/2019,2002,Madrid,M,"C,B+E",0,0,0,0,0,1,0,0,1
11/03/2019,2002,Madrid,M,"C,C+E",0,0,0,1,0,0,0,0,1
11/03/2019,2002,Madrid,M,"C1,A1",0,0,0,0,1,0,0,0,1
11/03/2019,2002,Madrid,M,D ,0,0,0,2,8,4,0,0,14
11/03/2019,2002,Madrid,M,"D,A,A2",0,0,0,0,3,1,0,0,4
11/03/2019,2002,Madrid,M,"D,D+E,A,A2",0,0,0,0,2,0,0,0,2
11/03/2019,2002,Madrid,M,Otros,0,0,56,1.029,173,31,3,0,1292
11/03/2019,2002,Madrid,V,A,0,0,0,2,1,1,0,0,4
